"","spp","Abundance","Infection_bd","Infection_rv","Infection_pk","Bd_shedding","Rv_shedding","Pk_shedding","sppco","total","pi_bd","pi_rv","pi_pk"
"1","ACGR",0.904111446804343,1.953125,2.65957446808511,0,0.766936782893887,0.0121814188107774,0,24,292,0.123117245097596,0.00195272343708184,0
"2","AMTI",0.452055723402171,1.30208333333334,3.54609929078015,5.20833333333333,0.00185675647524071,0.0125500844398821,2.00229089933959,12,292,9.93557518461893e-05,0.00134121453906129,0.428573419016354
"3","LICA",0.301370482268114,1.953125,0,1.953125,0.660527218189074,0,0.0781363990661675,8,292,0.0353450650385045,0,0.00418110871258252
"4","LIGR",0.7910975159538,0.372023809523809,0,0.744047619047619,0.000489205298865816,0,0.757966169604173,21,292,1.30887816803363e-05,0,0.0405590607380193
"5","LISP",1.318495859923,0.223214285714286,1.21580547112462,3.57142857142858,0.000444732089878015,0.0029603629259247,1.22888738166328,35,292,1.18988924366694e-05,0.000316370922934245,0.526065884751513
"6","NOPE",2.26027861701086,0.651041666666666,0.709219858156028,0.260416666666667,3.98567120020317,0.0235438259545018,0.0854096754721743,60,292,0.533186990308666,0.00251610431998041,0.00457030452546384
"7","NOVI",1.80822289360869,2.9296875,0.443262411347517,0.325520833333333,0.673253968161083,13.8399417199245,0.0786924285954654,48,292,0.324234704840668,0.739530126009971,0.00421086206616913
"8","PSOR",0.828768826237314,0.355113636363637,1.93423597678917,1.42045454545455,0.0234818543455592,0.019921189443359,0.0517916147099651,22,292,0.000628261520656143,0.00212895690421971,0.00554277837449806
"9","SILA",0.226027861701086,1.30208333333334,0,0,0.00226813365837788,0,0,6,292,6.06843514270138e-05,0,0
"10","AMTA",1.35616717020651,0,0.591016548463357,0.434027777777778,0,0.00290075830325507,0.0561078399865394,36,292,0,0.000155000519289933,0.00300235205890724
"11","PSST",0.753426205670286,0,1.06382978723404,0,0,0.00141726547236663,0,20,292,0,7.57308473243049e-05,0
